epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,89.1742,1.22841,0.71084,1.77423,0.9943,1,0.995,0.80327,0.86223,0.53241,1.54397,0.0003764,0.0003764,0.0003764
84,90.2058,1.12083,0.65768,1.68726,0.99509,1,0.995,0.7772,0.94235,0.50936,1.62044,0.0003566,0.0003566,0.0003566
85,91.1939,1.132,0.66902,1.70915,0.99501,1,0.995,0.81166,0.80938,0.52409,1.54752,0.0003368,0.0003368,0.0003368
86,92.1901,1.12167,0.67326,1.71886,0.99514,1,0.995,0.76553,0.84438,0.51912,1.57043,0.000317,0.000317,0.000317
87,93.236,1.20283,0.71798,1.76429,0.995,1,0.995,0.76683,0.87429,0.48872,1.58212,0.0002972,0.0002972,0.0002972
88,94.3637,1.10874,0.6898,1.67106,0.9948,1,0.995,0.79828,0.84309,0.50459,1.57172,0.0002774,0.0002774,0.0002774
89,95.3927,1.12228,0.68376,1.72134,0.99504,1,0.995,0.79257,0.85846,0.50008,1.56814,0.0002576,0.0002576,0.0002576
90,96.4636,1.12146,0.68077,1.66351,0.99491,1,0.995,0.80147,0.77504,0.45891,1.51301,0.0002378,0.0002378,0.0002378
91,98.5926,0.98871,0.68911,1.70905,0.99488,1,0.995,0.82532,0.75901,0.46454,1.48278,0.000218,0.000218,0.000218
92,99.7684,0.98891,0.64831,1.69343,0.99471,1,0.995,0.81877,0.77102,0.46169,1.50259,0.0001982,0.0001982,0.0001982
93,100.756,1.03516,0.64618,1.75434,0.99478,1,0.995,0.82056,0.81839,0.48823,1.52049,0.0001784,0.0001784,0.0001784
94,101.79,0.93787,0.60971,1.65953,0.99466,1,0.995,0.76999,0.90878,0.52316,1.58757,0.0001586,0.0001586,0.0001586
95,102.817,0.99466,0.59384,1.66502,0.99489,1,0.995,0.76184,0.9175,0.51325,1.59818,0.0001388,0.0001388,0.0001388
96,103.832,0.92808,0.60373,1.64398,0.995,1,0.995,0.74808,0.86222,0.48633,1.55372,0.000119,0.000119,0.000119
97,104.926,0.98189,0.5945,1.67265,0.99497,1,0.995,0.7863,0.83538,0.46293,1.52343,9.92e-05,9.92e-05,9.92e-05
98,105.993,0.9737,0.60576,1.68585,0.9949,1,0.995,0.80182,0.80621,0.46405,1.49831,7.94e-05,7.94e-05,7.94e-05
99,107.026,0.97965,0.57885,1.63422,0.99492,1,0.995,0.81172,0.80504,0.46588,1.48253,5.96e-05,5.96e-05,5.96e-05
100,108.053,0.98604,0.59358,1.6533,0.995,1,0.995,0.79391,0.81064,0.45302,1.48044,3.98e-05,3.98e-05,3.98e-05
